name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
Binance CEX,BNB,CEX,"Ethereum, Bitcoin, Binance, Solana, Tron, Ripple, Doge, Arbitrum, Base, Plasma, Avalanche, Polygon, Litecoin, Near, TON, Hedera, Aptos, Optimism, Sonic, Stellar, Celo, Algorand, Op_Bnb, Ronin, Chiliz, zkSync Era, Manta, Scroll, Starknet, Polkadot, Sui, Fantom",134135725653.00348,2.124933399875985,-3.048553335777015,0.0
OKX,-,CEX,"Ethereum, Bitcoin, Tron, Solana, Doge, Ripple, Litecoin, TON, Arbitrum, Aptos, Linea, Avalanche, Optimism, Base, zkSync Era, Scroll, Starknet, Polygon, Polkadot",21499774372.565422,0.801940370101704,-1.897963313363448,0.0
Bitfinex,-,CEX,"Bitcoin, Ethereum, Tron, Solana, Avalanche, Near, Polygon, Litecoin, Tezos, Algorand, EOS, Cosmos, Aptos, Elrond, Cardano, EthereumClassic, Fantom, Doge, Zilliqa, Polkadot",16190424065.19109,1.4965573267383405,-2.3518562969804293,0.0
Lido,LDO,Liquid Staking,"Ethereum, Solana, Moonbeam, Moonriver, Terra",14371390459.811144,3.7775873810279847,-6.2207915650687795,0.0
Bybit,-,CEX,"Ethereum, Bitcoin, Tron, Solana, Mantle, Binance, Ripple, Avalanche, Arbitrum, Doge, Aptos, Sui, Hyperliquid L1, Base, Optimism, Polygon, Litecoin, TON, Kava, Linea, Celo, Klaytn, zkSync Era, Sonic, Plasma, Cosmos, dYdX, Cardano, Manta, Arbitrum Nova, EOS, Scroll, Starknet, Taiko, Fantom, Polkadot",13394312303.529428,2.0138577937354114,-3.644245284305086,0.0
Aave V3,AAVE,Lending,"Ethereum, Plasma, Arbitrum, Base, Avalanche, Binance, Polygon, Mantle, MegaETH, X Layer, xDai, Optimism, Linea, Sonic, Celo, Scroll, zkSync Era, Metis, Soneium, Fantom, Harmony",11887156766.009113,3.029975982411173,-3.456061302487541,0.0
Robinhood,-,CEX,"Bitcoin, Ethereum, Polygon, Avalanche",10654532044.89882,1.1076183378145146,-5.454111050373285,0.0
SSV Network,SSV,Staking Pool,Ethereum,7820648572.869391,4.366956364594699,-37.83604493741856,0.0
LayerZero V2,ZRO,Bridge,"Ethereum, Arbitrum, Base, Avalanche, Polygon, Stable, Abstract, Binance, Plasma, Hemi, Citrea, Hyperliquid L1, Flare, Fraxtal, Celo, Berachain, Optimism, Fantom, Mantle, Metis, Katana, zkSync Era, TAC, Astar, Peaq, Ink, RSK, Blast, Mode, Canto, Nibiru, Monad, Sonic, xDai, Linea, X Layer, Kava, Plume Mainnet, Swellchain, Unichain, BOB, Op_Bnb, World Chain, Taiko, Lisk, Scroll, Tempo, Conflux, MegaETH, Moonriver, Harmony, Hedera, Soneium, Goat, Manta, Flow, Klaytn, Sei, XDC, Morph",7359032072.952568,-0.3454176036329244,-2.566845281051954,0.0
WBTC,-,Bridge,Bitcoin,6860804894.099611,2.6500001372894246,-5.085052394087015,0.0
